title,cited_by_count
predicting floor-level for 911 calls with neural networks and smartphone sensor data,12
identifying analogies across domains,13
bi-directional block self-attention for fast and memory-efficient sequence modeling,158
whai: weibull hybrid autoencoding inference for deep topic modeling,95
defense-gan: protecting classifiers against adversarial attacks using generative models,1164
unsupervised learning of goal spaces for intrinsically motivated goal exploration,88
word translation without parallel data,1569
critical points of linear neural networks: analytical forms and landscape properties,58
meta-learning and universality: deep representations and gradient descent can approximate any learning algorithm,251
maximum a posteriori policy optimisation,392
the implicit bias of gradient descent on separable data,746
online learning rate adaptation with hypergradient descent,206
syntax-directed variational autoencoder for structured data,315
learning to count objects in natural images for visual question answering,203
smooth loss functions for deep top-k classification,100
minimal-entropy correlation alignment for unsupervised deep domain adaptation,137
pixelnn: example-based image synthesis,109
trust-pcl: an off-policy trust region method for continuous control,112
stochastic activation pruning for robust adversarial defense,571
learning sparse latent representations with the deep copula information bottleneck,26
meta-learning for semi-supervised few-shot classification,1212
stochastic variational video prediction,487
an efficient framework for learning sentence representations,539
on the importance of single directions for generalization,298
combining symbolic expressions and black-box function evaluations in neural programs,36
deep complex networks,333
compressing word embeddings via deep compositional code learning,132
viterbi-based pruning for sparse matrix with fixed and high index compression ratio,20
interpretable counting for visual question answering,56
semantically decomposing the latent spaces of generative adversarial networks,124
adaptive quantization of neural networks,59
rethinking the smaller-norm-less-informative assumption in channel pruning of convolution layers,405
intrinsic motivation and automatic curricula via asymmetric self-play,364
large scale distributed neural network training through online distillation,393
universal agent for disentangling environments and tasks,6
fusionnet: fusing via fully-aware attention with application to machine comprehension,196
global optimality conditions for deep neural networks,112
guide actor-critic for continuous control,24
kronecker-factored curvature approximations for recurrent neural networks,67
learning a neural response metric for retinal prosthesis,7
activation maximization generative adversarial nets,96
evidence aggregation for answer re-ranking in open-domain question answering,182
few-shot learning with graph neural networks,860
decision boundary analysis of adversarial examples,127
memory-based parameter adaptation,91
fearnet: brain-inspired model for incremental learning,415
latent constraints: learning to generate conditionally from unconditional generative models,125
matrix capsules with em routing,1009
apprentice: using knowledge distillation techniques to improve low-precision network accuracy,309
residual connections encourage iterative inference,103
twin networks: matching the future for sequence generation,56
towards image understanding from deep compression without decoding,133
mixed precision training,1255
mixed precision training of convolutional neural networks using integer operations,171
relational neural expectation maximization: unsupervised discovery of objects and their interactions,280
learning intrinsic sparse structures within long short-term memory,146
empirical risk landscape analysis for understanding deep neural networks,20
a dirt-t approach to unsupervised domain adaptation,544
parameter space noise for exploration,617
compositional attention networks for machine reasoning,511
generalizing across domains via cross-gradient training,395
hierarchical subtask discovery with non-negative matrix factorization,8
variational image compression with a scale hyperprior,1086
deep active learning for named entity recognition,444
"a compressed sensing view of unsupervised text embeddings, bag-of-n-grams, and lstms",47
many paths to equilibrium: gans do not need to decrease a divergence at every step,226
multi-mention learning for reading comprehension with neural cascades,35
skip rnn: learning to skip state updates in recurrent neural networks,230
can recurrent neural networks warp time?,125
consequentialist conditional cooperation in social dilemmas with imperfect information,52
generating natural adversarial examples,561
stabilizing adversarial nets with prediction methods,106
searnn: training rnns with global-local losses,43
beyond shared hierarchies: deep multitask learning through soft layer ordering,117
towards better understanding of gradient-based attribution methods for deep neural networks,857
unsupervised machine translation using monolingual corpora only,1082
nervenet: learning structured policy with graph neural networks,221
leave no trace: learning to reset for safe and autonomous reinforcement learning,124
neural language modeling by jointly learning syntax and lexicon,167
adaptive dropout with rademacher complexity regularization,28
implicit causal models for genome-wide association studies,43
training gans with optimism,457
latent space oddity: on the curvature of deep generative models,212
learning awareness models,46
monotonic chunkwise attention,251
"emergent communication in a multi-modal, multi-step referential game",113
attacking binarized neural networks,103
the kanerva machine: a generative distributed memory,46
learning how to explain neural networks: patternnet and patternattribution,358
wrpn: wide reduced-precision networks,313
pact: parameterized clipping activation for quantized neural networks,717
on the discrimination-generalization tradeoff in gans,112
towards synthesizing complex programs from input-output examples,53
do gans learn the distribution? some theory and empirics,146
learning one-hidden-layer neural networks with landscape design,264
learning from noisy singly-labeled data,153
understanding short-horizon bias in stochastic meta-optimization,111
a scalable laplace approximation for neural networks,301
a pac-bayesian approach to spectrally-normalized margin bounds for neural networks,539
deep learning as a mixed convex-combinatorial optimization problem,25
leveraging grammar and reinforcement learning for neural program synthesis,201
unbiased online recurrent optimization,80
learning wasserstein embeddings,46
quantitatively evaluating gans with divergences proposed for training,79
training confidence-calibrated classifiers for detecting out-of-distribution samples,738
synthesizing realistic neural population activity patterns using generative adversarial networks,227
kernel implicit variational inference,55
residual loss prediction: reinforcement learning with no incremental feedback,5
distributed distributional deterministic policy gradients,491
debiasing evidence approximations: on importance-weighted autoencoders and jackknife variational inference,47
towards reverse-engineering black-box neural networks,325
go for a walk and arrive at the answer: reasoning over paths in knowledge bases using reinforcement learning,457
boosting the actor with dual critic,41
mastering the dungeon: grounded language learning by mechanical turker descent,28
deep neural networks as gaussian processes,925
meta learning shared hierarchies,363
recasting gradient-based meta-learning as hierarchical bayes,521
pixeldefend: leveraging generative models to understand and defend against adversarial examples,755
ensemble adversarial training: attacks and defenses,2506
dcn+: mixed objective and deep residual coattention for question answering,115
all-but-the-top: simple and effective postprocessing for word representations,267
deep rewiring: training very sparse deep networks,225
communication algorithms via deep learning,215
demystifying mmd gans,881
"stochastic gradient descent performs variational inference, converges to limit cycles for deep networks",278
distributed fine-tuning of language models on private data,15
noisy networks for exploration,878
neural-guided deductive search for real-time program synthesis from examples,154
hyperparameter optimization: a spectral approach,131
deep learning with logged bandit feedback,126
few-shot autoregressive density estimation: towards learning to learn distributions,87
treeqn and atreec: differentiable tree-structured models for deep reinforcement learning,130
learning to share: simultaneous parameter tying and sparsification in deep learning,43
deep voice 3: scaling text-to-speech with convolutional sequence learning,451
hexaconv,82
coulomb gans: provably optimal nash equilibria via potential fields,79
learn to pay attention,449
smash: one-shot model architecture search through hypernetworks,704
on the regularization of wasserstein gans,246
interactive grounded language acquisition and generalization in a 2d world,79
on the information bottleneck theory of deep learning,471
adversarial dropout regularization,281
detecting statistical interactions from neural network weights,174
scan: learning hierarchical compositional visual concepts,119
efficient sparse-winograd convolutional neural networks,141
mixup: beyond empirical risk minimization,6888
towards neural phrase-based machine translation,95
cgans with projection discriminator,517
multi-task learning for document ranking and query suggestion,57
flipout: efficient pseudo-independent weight perturbations on mini-batches,269
improving gan training via binarized representation entropy (bre) regularization,19
generalizing hamiltonian monte carlo with neural networks,127
improving the universality and learnability of neural programmer-interpreters with combinator abstraction,15
minimax curriculum learning: machine teaching with desirable difficulties and scheduled diversity,50
decoupling the layers in residual networks,2
proximal backpropagation,140
an online learning approach to generative adversarial networks,73
deep gradient compression: reducing the communication bandwidth for distributed training,1220
gradient estimators for implicit models,86
deep autoencoding gaussian mixture model for unsupervised anomaly detection,1271
robustness of classifiers to universal perturbations: a geometric perspective,55
sparse persistent rnns: squeezing large recurrent networks on-chip,29
not-so-random features,22
mitigating adversarial effects through randomization,959
learning an embedding space for transferable robot skills,285
learning to cluster in order to transfer across domains and tasks,159
spatially transformed adversarial examples,504
ganite: estimation of individualized treatment effects using generative adversarial nets,308
initialization matters: orthogonal predictive state recurrent neural networks,20
fidelity-weighted learning,64
learning general purpose distributed sentence representations via large scale multi-task learning,364
understanding deep neural networks with rectified linear units,591
improving gans using optimal transport,278
routing networks: adaptive selection of non-linear functions for multi-task learning,228
on unifying deep generative models,130
improving the improved training of wasserstein gans: a consistency term and its dual effect,261
unsupervised neural machine translation,781
deep gaussian embedding of graphs: unsupervised inductive learning via ranking,482
parametrized hierarchical procedures for neural programming,30
